Geographies,Time,TW Rent Index ($/sf),Vacancy Rate (%),Cap Rate (%),Gross Asking Rent ($/sf)
New York,1980.1,19.97,,,
New York,1980.2,21.6,,,
New York,1980.3,22.82,,,
New York,1980.4,24.03,,,
New York,1981.1,25.24,,,
New York,1981.2,26.47,,,
New York,1981.3,27.4,,,
New York,1981.4,28.32,,,
New York,1982.1,28.63,,,
New York,1982.2,29.56,,,
New York,1982.3,30.11,,,
New York,1982.4,30.88,,,
New York,1983.1,31.39,,,
New York,1983.2,31.66,,,
New York,1983.3,30.67,,,
New York,1983.4,30.66,,,
New York,1984.1,32.66,,,
New York,1984.2,35.27,,,
New York,1984.3,35.76,,,
New York,1984.4,35.21,,,
New York,1985.1,35.62,,,
New York,1985.2,36.75,,,
New York,1985.3,37.28,,,
New York,1985.4,36.74,,,
New York,1986.1,36.52,,,
New York,1986.2,35.92,,,
New York,1986.3,35.38,,,
New York,1986.4,35.69,,,
New York,1987.1,35.85,,,
New York,1987.2,36.52,,,
New York,1987.3,37.02,,,
New York,1987.4,37.02,12.065,7.6,
New York,1988.1,37.77,13.554,7.5,30.12
New York,1988.2,38.27,13.259,7.4,30.62
New York,1988.3,38.33,13.882,7.3,30.37
New York,1988.4,38.17,14.218,7.3,30.38
New York,1989.1,37.47,13.729,6.9,29.93
New York,1989.2,36.88,13.796,6.6,29.53
New York,1989.3,36.73,13.35,6.5,29.92
New York,1989.4,36.84,14.836,6.2,30.53
New York,1990.1,37.05,15.596,6.3,30.37
New York,1990.2,37.21,15.919,6.3,29.97
New York,1990.3,37.26,16.5,6.2,29.38
New York,1990.4,37.31,16.686,6.4,29.41
New York,1991.1,37.43,17.258,6.7,29.21
New York,1991.2,37.39,18.134,7,31.08
New York,1991.3,37.01,17.28,7.4,29.94
New York,1991.4,36.02,17.744,7.8,29.15
New York,1992.1,35.43,17.828,7.9,28.88
New York,1992.2,34.29,17.991,8.2,28.9
New York,1992.3,33.05,17.91,8.5,28.41
New York,1992.4,33.02,17.729,9,28.07
